,A,B,C,D,E,F,G,H
172,0.008,0.012,-0.009,-0.004,0.16,0.042,-0.14,4563.173411009862
173,0.004,0.016,-0.004,0.0,-0.222,0.045,-0.365,4953.850177281041
174,0.009,0.0,-0.011,0.014,0.518,0.061,-0.021,5598.271913818826
175,0.0,0.003,-0.011,0.002,-0.243,0.064,-0.239,6125.942763105297
176,0.003,0.0,-0.037,0.04,0.071,0.109,-0.132,7410.785880621639
177,0.0,0.01,-0.007,-0.007,-0.145,0.102,-0.225,8217.469452971898
178,0.0,0.005,-0.007,0.002,-0.057,0.104,-0.25,8918.825506817171
179,0.0,0.003,-0.011,0.011,-0.049,0.116,-0.266,9667.596228748138
180,0.004,0.001,-0.012,0.015,0.052,0.134,-0.222,10456.374333894433
181,0.0,0.0,0.0,0.0,0.08,0.136,-0.146,10822.425839553325
182,-0.03,0.01,-0.003,-0.038,0.074,0.098,-0.089,10516.12175861925
183,0.011,0.023,0.0,-0.008,0.114,0.091,0.051,10056.517342133491
184,-0.002,0.007,-0.009,0.0,0.074,0.093,0.133,9505.645081794952
185,0.041,0.016,0.0,0.029,0.59,0.126,0.812,9086.568456562105
186,0.015,0.002,-0.024,0.034,-0.335,0.167,0.241,8757.831983580836
187,0.004,0.007,-0.013,0.003,0.017,0.171,0.255,8458.16055652764
188,-0.005,0.016,-0.004,-0.015,-0.093,0.153,0.141,7701.609947892299
189,-0.0,0.017,-0.003,-0.001,-0.225,0.149,-0.105,7151.127699071047
190,0.002,0.011,-0.015,0.016,0.086,0.162,-0.028,7011.684683816231
191,0.0,0.009,-0.013,-0.001,-0.047,0.155,-0.069,6932.606709562693
192,-0.001,0.032,0.0,-0.034,0.198,0.113,0.103,6362.938745083462
193,-0.003,0.005,-0.019,0.016,-0.337,0.126,-0.258,5727.781236634022
194,0.014,0.006,-0.006,0.008,0.035,0.13,-0.254,5289.980996881597
195,0.007,0.014,0.0,-0.005,-0.301,0.12,-0.477,4683.275506916529
196,0.0,0.01,-0.004,-0.003,0.013,0.108,-0.472,4646.490922700366
197,-0.003,0.029,0.0,-0.029,0.662,0.069,-0.113,4589.509319031145
198,0.0,0.005,-0.018,0.013,-0.244,0.077,-0.319,4468.8658634225285
199,0.013,0.005,-0.006,0.018,0.109,0.089,-0.232,4460.211937376502
200,0.0,0.007,-0.029,0.019,0.633,0.101,0.27,4682.237881499328
201,0.044,0.005,-0.018,0.037,0.084,0.136,0.383,5713.937162302085
202,0.005,0.008,-0.005,-0.003,-0.261,0.13,0.019,6093.420092284185
203,0.0,0.013,-0.009,-0.012,-0.073,0.115,-0.068,5864.094491950687
204,0.0,0.002,-0.018,0.0,-0.094,0.114,-0.172,5435.755309933811
205,0.0,0.015,-0.004,-0.005,-0.171,0.104,-0.367,5356.70597917866
206,0.0,0.005,-0.016,0.012,0.141,0.109,-0.288,5667.942725261266
207,0.003,0.01,-0.008,-0.007,0.408,0.093,-0.013,5834.689727014309
208,-0.01,0.002,-0.011,0.001,-0.437,0.089,-0.447,5927.81702963596
209,0.0,0.007,-0.005,-0.0,0.305,0.085,-0.264,5962.487647565271
210,0.0,0.015,0.0,-0.008,-0.236,0.07,-0.432,5997.186708870475
211,0.0,0.018,-0.0,-0.01,0.311,0.054,-0.245,5986.38595833123
212,0.01,0.018,-0.0,0.0,0.0,0.053,-0.247,5610.749082177703
213,0.019,0.019,0.0,0.009,0.217,0.06,-0.055,5449.595252957108
214,0.001,0.014,0.0,-0.011,-0.117,0.045,-0.144,5353.269930366718
215,0.004,0.01,0.0,0.001,0.09,0.044,-0.023,5188.844714739898
216,0.013,0.004,-0.006,0.012,-0.23,0.055,-0.214,4969.403649491447
217,0.0,0.004,-0.006,0.0,0.0,0.057,-0.212,3937.4391891711857
218,-0.012,0.001,-0.005,-0.009,-0.43,0.047,-0.539,3020.600149499747
219,-0.002,0.052,0.0,-0.054,2.996,-0.008,0.873,3889.373376671094
220,0.001,0.0,-0.029,0.012,-0.255,0.0,0.346,4478.456501025648
221,-0.002,0.012,-0.002,-0.013,-0.29,-0.019,-0.083,5077.355299967225
222,-0.034,0.021,-0.012,-0.035,2.09,-0.059,1.827,6403.013764092495
223,0.0,0.018,-0.001,0.001,-0.566,-0.062,0.234,7395.976146384928
224,0.0,0.0,-0.026,0.01,0.155,-0.056,0.444,7924.545213581994
225,-0.014,0.001,-0.019,-0.002,-0.373,-0.061,-0.07,8368.325242748455
226,0.0,0.031,0.0,-0.025,0.168,-0.087,0.102,8950.04992635295
227,0.0,0.005,-0.014,0.014,0.016,-0.076,0.097,9173.305895511803
228,0.012,0.0,-0.018,0.024,0.02,-0.056,0.156,8976.919176128125
229,0.0,0.005,-0.005,-0.004,-0.28,-0.062,-0.16,8720.385312587969
230,0.001,0.0,-0.008,0.006,0.079,-0.057,-0.067,8448.138754841362
231,0.0,0.015,-0.004,-0.015,0.293,-0.071,0.214,8350.400935851736
232,0.0,0.024,0.0,-0.005,0.792,-0.076,1.187,8211.120572286804
233,0.004,0.017,-0.002,-0.009,-0.265,-0.085,0.584,7897.417032769241
234,0.0,0.001,-0.011,0.011,-0.508,-0.074,-0.221,7554.290241487382
235,0.007,0.01,-0.001,0.007,0.63,-0.068,0.259,7039.104009968738
236,-0.011,0.039,-0.001,-0.049,0.304,-0.113,0.668,6536.960826110648
237,0.005,0.005,-0.009,0.011,-0.283,-0.103,0.213,5484.049214720246
238,0.001,0.039,0.0,-0.031,0.432,-0.13,0.826,4846.685248160531
239,0.016,0.004,-0.018,0.024,-0.33,-0.105,0.11,4862.616146630709
240,0.004,0.0,-0.029,0.031,-0.164,-0.073,-0.105,4339.48820654428
241,-0.027,0.0,-0.029,0.0,0.0,-0.069,-0.101,4011.7217723749636
242,0.031,0.018,-0.004,0.013,0.114,-0.051,-0.156,4087.0094587350177
243,0.01,0.022,-0.009,-0.011,0.168,-0.055,-0.022,4095.1606870343385
244,0.004,0.0,-0.018,0.02,-0.189,-0.031,-0.225,4238.530033172501
245,0.005,0.01,-0.01,-0.002,-0.116,-0.029,-0.299,4354.86128850338
246,-0.011,0.026,-0.008,-0.032,1.149,-0.053,0.519,4304.789988153338
247,0.002,0.034,-0.004,-0.032,0.031,-0.078,0.576,4682.052631283121
248,-0.013,0.021,-0.005,-0.012,0.353,-0.088,1.141,5064.1094192884775
249,0.0,0.006,-0.03,-0.001,0.085,-0.087,1.394,5372.891018319366
250,0.012,0.009,-0.013,0.007,-0.63,-0.079,-0.094,5387.378622396296
251,0.005,0.003,-0.028,0.029,1.02,-0.049,0.827,5296.654753610754
252,0.0,0.008,-0.011,-0.008,-0.458,-0.054,-0.081,5254.129603915077
253,0.008,0.015,-0.002,0.006,0.343,-0.045,0.206,5235.7491797911935
254,0.01,0.021,-0.006,-0.012,-0.379,-0.054,-0.221,5167.573389594196
255,-0.014,0.009,-0.006,-0.022,0.358,-0.074,0.057,5170.818524230606
256,0.009,0.0,-0.017,0.019,0.081,-0.051,0.108,5168.624371603801
257,-0.006,0.007,-0.016,0.004,-0.294,-0.044,-0.212,5185.898287918069
258,-0.002,0.002,-0.022,0.018,0.169,-0.02,-0.106,4971.563769659348
259,0.005,0.0,-0.019,0.01,-0.073,-0.006,-0.16,5001.658672249061
260,0.008,0.005,-0.006,0.009,0.144,0.002,-0.014,5049.733291550103
261,-0.015,0.017,-0.0,-0.029,0.038,-0.025,0.049,4968.608827852178
262,0.004,0.085,-0.006,0.002,4.265,-0.024,4.598,4708.780599777616
263,0.014,0.023,-0.002,-0.002,-0.573,-0.026,1.387,4564.031458907222
264,-0.009,0.036,0.0,-0.044,0.06,-0.069,1.574,4368.605703136156
265,-0.025,0.008,-0.04,0.005,-0.031,-0.066,1.558,3947.188206412524
266,-0.028,0.011,-0.018,-0.011,-0.316,-0.074,0.652,4179.103907978861
267,0.017,0.054,0.0,-0.035,0.208,-0.102,0.892,5172.785465654277
