,A,B,C,D,E,F,G,H
670,-0.01,0.017,0.0,-0.026,0.351,0.079,-0.072,7004.622533877555
671,-0.004,0.014,-0.014,0.008,0.113,0.09,0.025,5710.931346295911
672,0.007,0.02,-0.002,-0.005,-0.245,0.084,-0.252,4530.725514110352
673,0.003,0.002,-0.027,0.024,1.021,0.106,0.387,4051.9131283876195
674,-0.014,0.013,-0.011,-0.007,0.309,0.094,0.822,3672.3146293369355
675,0.009,0.006,-0.007,0.012,-0.582,0.101,-0.234,3521.5277784985374
676,0.017,0.006,-0.003,0.017,0.43,0.115,0.106,3562.539011790097
677,-0.002,0.002,-0.004,0.002,-0.456,0.111,-0.431,3585.996154634384
678,0.012,0.004,-0.006,0.012,0.508,0.12,-0.178,3706.551809403114
679,-0.004,0.002,-0.008,-0.004,-0.267,0.112,-0.375,3509.0859508604626
680,-0.004,0.02,-0.005,-0.012,0.266,0.093,-0.207,3358.0069276753784
681,0.0,0.002,-0.01,0.008,-0.481,0.094,-0.608,3516.1432220395654
682,0.01,0.006,-0.01,0.018,1.473,0.106,-0.064,3948.230782995015
683,0.002,0.006,-0.008,0.0,-0.205,0.099,-0.23,4301.223816053927
684,0.025,0.036,-0.004,-0.01,1.445,0.082,0.938,4458.68755766112
685,0.002,0.006,-0.008,0.004,-0.628,0.082,-0.268,4608.219201657659
686,-0.004,0.004,-0.012,0.008,-0.184,0.086,-0.39,4851.250517026245
687,0.002,0.012,-0.006,-0.004,0.179,0.079,-0.265,4865.290600938344
688,-0.008,0.008,-0.004,-0.014,0.182,0.061,-0.125,4842.7482410626835
689,0.012,0.02,-0.002,0.0,0.15,0.058,0.046,4769.762214088594
690,0.004,0.0,-0.016,0.016,-0.178,0.075,-0.128,4356.181331105676
691,0.01,0.0,-0.017,0.021,0.537,0.097,0.345,4297.6003095975175
692,0.002,0.0,-0.011,0.008,-0.187,0.105,0.123,4072.2423668952833
693,0.004,0.004,-0.011,0.011,0.357,0.115,0.453,4433.793670863524
694,0.002,0.009,-0.009,-0.008,-0.355,0.105,-0.136,4283.567131307864
695,0.006,0.023,-0.002,-0.015,0.253,0.086,0.112,4007.1515017397032
696,0.002,0.012,-0.004,-0.01,-0.295,0.071,-0.221,3870.318904309126
697,0.004,0.0,-0.019,0.019,-0.197,0.088,-0.348,3896.0708952806017
698,-0.002,0.0,-0.01,-0.002,-0.053,0.08,-0.377,3969.3032664502534
699,-0.011,0.0,-0.017,0.006,0.929,0.083,0.241,4035.8394418014213
700,0.002,0.0,-0.02,0.017,-0.192,0.099,0.015,4141.497313774336
701,-0.002,0.006,-0.006,-0.004,-0.202,0.092,-0.146,4180.3550592087995
702,-0.006,0.0,-0.015,0.0,0.15,0.087,-0.037,4349.519029671399
703,-0.002,0.027,0.0,-0.029,0.41,0.052,0.367,4278.465046940866
704,-0.008,0.022,-0.008,-0.02,0.138,0.03,0.384,4205.059609064949
705,0.0,0.0,-0.014,0.012,-0.407,0.039,-0.161,4083.0844893742324
706,0.012,0.015,-0.002,0.004,0.068,0.04,-0.072,4022.044518060822
707,0.002,0.021,0.0,0.0,2.024,0.037,1.868,3915.475369405496
708,0.0,0.002,-0.011,0.008,-0.724,0.044,-0.205,3537.1710373359674
709,-0.006,0.016,0.0,-0.018,-0.094,0.026,-0.286,3212.0824528972735
710,-0.002,0.022,-0.002,-0.02,0.636,0.003,0.182,3558.533109967757
711,0.012,0.018,0.0,0.002,0.689,0.001,0.926,3933.3392803999013
712,-0.012,0.008,-0.008,-0.01,-0.361,-0.013,0.221,4392.146100532293
713,-0.006,0.008,-0.009,-0.009,0.098,-0.027,0.286,4793.625152769368
714,0.015,0.018,0.0,0.001,-0.211,-0.03,0.024,5118.5832743877545
715,0.012,0.01,-0.009,0.018,0.092,-0.014,0.104,5225.15172280345
716,0.01,0.004,-0.01,0.016,-0.258,0.001,-0.164,5236.903464332412
717,-0.004,0.002,-0.016,0.006,-0.187,0.004,-0.297,5146.802788855275
718,0.0,0.006,-0.01,0.008,0.653,0.009,0.204,5077.86735176346
719,0.021,0.0,-0.011,0.026,1.564,0.034,2.009,5204.805471869244
720,0.023,0.002,-0.015,0.026,-0.379,0.057,0.869,5619.093390068883
721,-0.004,0.004,-0.007,0.0,-0.365,0.053,0.21,6053.2635825643665
722,0.02,0.0,-0.023,0.035,0.682,0.089,1.048,7413.01132078626
723,0.0,0.016,-0.005,-0.007,-0.196,0.081,0.596,8445.110700093996
724,0.012,0.023,-0.009,-0.005,-0.089,0.078,0.393,9106.036170411477
725,0.002,0.009,-0.007,0.0,-0.147,0.078,0.207,9675.204336207506
726,0.002,0.016,-0.007,-0.009,-0.187,0.069,-0.009,10020.079840001272
727,0.002,0.013,-0.004,-0.009,0.206,0.06,0.024,10198.013222398295
728,-0.005,0.0,-0.018,0.007,-0.187,0.067,-0.139,10435.057309503944
729,0.005,0.007,-0.018,0.019,0.277,0.089,0.141,10764.51773677126
730,-0.005,0.014,-0.002,-0.013,-0.321,0.079,-0.228,10625.94144435905
